Hour, PeriodID, PeriodName,HourlyPercent
1,1,"""Hourly""",0.004138111
2,1,"""Hourly""",0.002513065
3,1,"""Hourly""",0.002111587
4,1,"""Hourly""",0.001461707
5,1,"""Hourly""",0.003242233
6,1,"""Hourly""",0.008822934
7,1,"""Hourly""",0.021290608
8,1,"""Hourly""",0.039226636
9,1,"""Hourly""",0.078126925
10,1,"""Hourly""",0.048737253
11,1,"""Hourly""",0.054094572
12,1,"""Hourly""",0.071814048
13,1,"""Hourly""",0.091814321
14,1,"""Hourly""",0.085048484
15,1,"""Hourly""",0.08445696
16,1,"""Hourly""",0.087810822
17,1,"""Hourly""",0.080708122
18,1,"""Hourly""",0.081328333
19,1,"""Hourly""",0.051752397
20,1,"""Hourly""",0.036877737
21,1,"""Hourly""",0.025119077
22,1,"""Hourly""",0.022787356
23,1,"""Hourly""",0.009810639
24,1,"""Hourly""",0.006906071
